Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recommendations/user_7278f6e649f344f59611ef76917690c9,56,0,4,5.350137491145039,1.7814000602811575,43.42280002310872,2.0,0.1876329273799318,0.0,4,4,5,5,8,15,33,43,43,43,43
GET,/api/recommendations/user_73b3d0c4245c4f819ff0afe7a4582309,47,0,3,4.47251064148038,2.1961999591439962,35.42490000836551,2.0,0.15747763547958563,0.0,3,4,5,5,6,8,35,35,35,35,35
GET,/api/recommendations/user_77916776905b473f89dc9af233722fb1,51,0,3,6.098833334559173,1.9277000101283193,48.92430000472814,2.0,0.17087998743529503,0.0,3,4,5,6,10,28,39,49,49,49,49
GET,/api/recommendations/user_7948e84dcafd4ca2ae37df1a97306484,49,0,3,4.92586326376744,1.9051999552175403,19.10979999229312,2.0,0.16417881145744034,0.0,3,4,6,6,10,17,19,19,19,19,19
GET,/api/recommendations/user_7967812014404e6399e4c52a4ee8e65b,55,0,4,8.379752728664739,1.8566999351605773,181.48450006265193,2.0,0.18428233939100447,0.0,4,5,6,7,8,18,31,180,180,180,180
GET,/api/recommendations/user_7d45b77fe58c43288c2cc45019cff8e1,41,0,4,6.185675602088251,1.9645999418571591,44.763099984265864,2.0,0.1373741075460215,0.0,4,5,5,6,8,13,45,45,45,45,45
GET,/api/recommendations/user_7d7cdb0f392f4c52bc43f4f5df61688e,31,0,3,4.106980650835941,1.818199991248548,10.698099969886243,2.0,0.10386822765674797,0.0,3,4,5,5,7,10,11,11,11,11,11
GET,/api/recommendations/user_7e015f4fbd2d4b83a98bc06de1c26e0b,61,0,3,3.8779311523330016,1.787999994121492,14.518699957989156,2.0,0.20438586732456857,0.0,3,4,5,5,6,8,11,15,15,15,15
GET,/api/recommendations/user_7e8c8534512143b1b159ae4718daf7d2,47,0,4,6.082434043724169,1.9691999768838286,95.53470008540899,2.0,0.15747763547958563,0.0,4,4,4,5,6,12,96,96,96,96,96
GET,/api/recommendations/user_7f491b88148549ee94793989bc4b9e63,52,0,3,5.123884609649674,1.7980000702664256,63.13899997621775,2.0,0.1742305754242224,0.0,3,4,5,5,7,8,13,63,63,63,63
GET,/api/recommendations/user_7f8e5c78a1654c59898676eee3818f43,45,0,3,4.708606656640768,1.7287000082433224,39.00929994415492,2.0,0.1507764595017309,0.0,3,4,5,5,7,9,39,39,39,39,39
GET,/api/recommendations/user_8126aa744082479183861e44d65dc383,50,0,5,7.930330003146082,1.9940000493079424,83.26440001837909,2.0,0.1675293994463677,0.0,5,5,6,7,7,27,83,83,83,83,83
GET,/api/recommendations/user_8214ff86b8a14a8299758d93a293fe94,48,0,4,4.345812495254601,1.7861999804154038,13.582999934442341,2.0,0.16082822346851297,0.0,4,4,5,5,8,11,14,14,14,14,14
GET,/api/recommendations/user_85647c29808c491e91829db9dea5d23a,44,0,4,4.659652268111875,1.931500039063394,16.345400013960898,2.0,0.14742587151280356,0.0,4,4,5,5,8,13,16,16,16,16,16
GET,/api/recommendations/user_85c51c5087b24fbab8034cc6ce899c17,48,0,4,5.162331244112768,1.9540999783203006,50.804900005459785,2.0,0.16082822346851297,0.0,4,4,5,5,7,12,51,51,51,51,51
GET,/api/recommendations/user_8627097ed8ff44c2900993c3e0ca4e83,45,0,3,4.033895550916593,1.6334999818354845,14.798099990002811,2.0,0.1507764595017309,0.0,3,4,5,5,6,8,15,15,15,15,15
GET,/api/recommendations/user_8a6575e151b74a2bbeea1c2a159e9aa8,48,0,4,4.546779171505477,2.1560000022873282,15.058099990710616,2.0,0.16082822346851297,0.0,4,5,5,6,7,12,15,15,15,15,15
GET,/api/recommendations/user_8b7411178a884954884436989d1a7313,38,0,4,5.834907893777678,1.9725000020116568,50.78930000308901,2.0,0.12732234357923944,0.0,4,4,4,5,6,37,51,51,51,51,51
GET,/api/recommendations/user_8c1488b368d84fe385275e5af3063b3d,43,0,4,6.406465112123379,1.717100036330521,51.99800000991672,2.0,0.14407528352387622,0.0,4,5,6,7,7,23,52,52,52,52,52
GET,/api/recommendations/user_8cc68d956db341df942abd629664bf00,39,0,4,3.81128204604372,2.082300023175776,7.396499975584447,2.0,0.13067293156816678,0.0,4,4,4,4,5,6,7,7,7,7,7
GET,/api/recommendations/user_8dfc3799b61447cfa90dfa9fe648f4ab,56,0,3,7.418403570357311,1.847199979238212,104.1863999562338,2.0,0.1876329273799318,0.0,3,5,5,6,9,19,76,100,100,100,100
